distance_to_signal,ev_speed,queue_length,time_of_day,traffic_level,preempted,success
24.478757380250574,14.720613751785459,0,43.6,1,1,1
23.04366076780035,14.653357976691659,0,43.7,1,1,1
21.606735075606256,14.71374230713849,0,43.8,1,1,1
20.177250250354163,14.68826770491698,0,43.9,1,1,1
18.779504068297992,14.422863977007427,0,44.0,1,1,1
17.43709668533128,13.922863977007427,0,44.1,1,1,1
16.150896106198452,13.422863977007427,0,44.2,1,1,1
14.915252493993185,12.993532422342616,0,44.3,1,1,1
13.73824768900667,12.493532422342616,0,44.4,1,1,1
12.618308584022627,12.027378173505907,0,44.5,1,1,1
11.55947491269532,11.539200300023202,0,44.6,1,1,1
10.565176622222438,11.039200300023202,0,44.7,1,1,1
9.638206571618342,10.539200300023202,0,44.8,1,1,1
8.781884241068468,10.039200300023202,0,44.9,1,1,1
8.000073485210866,9.539200300023202,0,45.0,1,1,1
7.183544713081355,9.476054916578487,0,45.1,1,1,1
6.403978288616781,9.46714655171605,0,45.2,1,1,1
5.675489048716241,9.467726221892425,0,45.3,1,1,1
5.021227053670861,9.455348914250408,0,45.4,1,1,1
4.473562796078934,9.433743939717441,0,45.5,1,1,1
3.8320918187894413,9.396419791253193,0,45.6,1,1,1
3.244312868082217,9.43891562843919,0,45.7,1,1,1
2.855461861111611,9.406976306898196,0,45.8,1,1,1
2.7482637512141666,9.433812955508383,0,45.9,1,1,1
2.757118127522279,9.495409740381783,0,46.0,1,1,1
2.825833241717868,9.43937388683893,0,46.1,1,1,1
3.184416217774969,9.40521234908365,0,46.2,1,1,1
3.750055323817425,9.400363809037863,0,46.3,1,1,1
4.416288458140387,9.442174667824201,0,46.4,1,1,1
4.949549719002624,9.450168565615222,0,46.5,1,1,1
5.59592831809455,9.493563356279537,0,46.6,1,1,1
6.317135622067652,9.465933735617345,0,46.7,1,1,1
7.09170486152942,9.467316104904658,0,46.8,1,1,1
7.898833068967933,9.409403824196106,0,46.9,1,1,1
8.674189133740787,9.40649836506569,0,47.0,1,1,1
9.499723021898502,9.727850583138551,0,47.1,1,1,1
10.380508101032847,10.062228180755536,0,47.2,1,1,1
11.309145155874473,10.358868040315482,0,47.3,1,1,1
12.286906013358553,10.705695086599933,0,47.4,1,1,1
13.303434882731318,10.967828452321607,0,47.5,1,1,1
14.359754879324141,11.264447812596242,0,47.6,1,1,1
15.452622116816169,11.544542658551268,0,47.7,1,1,1
16.580712256916087,11.825177802365411,0,47.8,1,1,1
17.746869459133535,12.146857499694356,0,47.9,1,1,1
18.94511482858613,12.415435087088166,0,48.0,1,1,1
20.175273309420902,12.690024949976845,0,48.1,1,1,1
21.439229768250712,12.99029063174957,0,48.2,1,1,1
22.7381413885345,13.307408095238399,0,48.3,1,1,1
24.069129549813187,13.599223659522732,0,48.4,1,1,1
25.432088743007448,13.893579060839157,0,48.5,1,1,1
26.829856813756027,14.21982301310859,0,48.6,1,1,1
28.256296937943794,14.486231844485637,0,48.7,1,1,1
29.703441264137286,14.674261047038344,0,48.8,1,1,1
31.148478550719005,14.633730739449712,0,48.9,1,1,1
32.59674510631087,14.64983790292321,0,49.0,1,1,1
34.050228833703095,14.68808688425026,0,49.1,1,1,1
35.501506845174525,14.65309477112638,0,49.2,1,1,1
36.95749061253152,14.689385239427539,0,49.3,1,1,1
38.41648094259536,14.709746404363868,0,49.4,1,1,1
39.87055350183289,14.651338219523058,0,49.5,1,1,1
